Iterations	1	2	4	6	8	10	12	16	24	32
100	0.0000655	0.000073	0.0000765	0.000094	0.000134	0.000154	0.000112	0.000147	0.000153	0.000395
1000	0.000691	0.0017295	0.0033575	0.005018	0.0063085	0.00828	0.011613	0.017103	0.02687	0.033914
5000	0.0039495	0.01018	0.0223145	0.0279815	0.03558	0.056207	0.085669	0.112085	0.183533	0.222797
10000	0.007751	0.020105	0.043585	0.067051	0.0863975	0.140231	0.146792	0.202429	0.341679	0.48693
50000	0.0304685	0.0896735	0.2126955	0.321296	0.416667	0.465039	0.665817	0.995098	1.612057	2.467621
100000	0.063737	0.1817235	0.392117	0.544891	0.9594475	1.087703	1.353317	1.988265	3.447283	4.878915
500000	0.3425765	1.016592	1.942906	2.8879825	4.3985975	5.217333	7.577867	10.425048	16.526974	24.504944
1000000	0.715925	2.7081485	4.966389	6.6172025	11.0390045	11.914582	16.517567	23.374681	34.219682	49.048444
5000000	5.597962	13.782116	31.4974105	44.402189	63.404236	78.699288	83.00893	113.309284	180.399837	262.961146
