Iterations	1	2	4	6	8	10	12	16	24	32
100	0.00006	0.000099	0.000133	0.000363	0.000802	0.000507	0.001109	0.002436	0.001312	0.005809
1000	0.000574	0.000943	0.001088	0.001156	0.001513	0.001682	0.015961	0.007944	0.009095	0.013994
5000	0.002862	0.008136	0.005219	0.005813	0.005736	0.007415	0.015326	0.022056	0.030273	0.06854
10000	0.00563	0.02022	0.012721	0.011302	0.011294	0.012379	0.032411	0.059465	0.042321	0.115493
50000	0.03474	0.124866	0.073045	0.065709	0.049809	0.069924	0.080131	0.12773	0.344349	0.454105
100000	0.072557	0.253923	0.099451	0.109023	0.201641	0.147996	0.149231	0.376712	0.597867	0.912873
500000	0.31657	1.227298	0.587201	0.520315	0.503298	0.634182	1.249737	1.038957	2.252926	4.751672
1000000	0.652133	2.514614	1.454919	1.27552	1.047778	1.075967	1.369615	1.957333	2.684036	4.215693
5000000	3.227032	12.225456	8.490865	7.749278	6.486562	7.794031	11.818822	15.575598	24.910287	37.768626
